stripe_id,k_on,k_off,initiation_rate_off,initiation_rate_on
0.7,0.927741964,2.08571364,1880.69155,147789.046
1,1.64648236,2.15074282,9250.09728,170002.512
1.3,0.90831877,2.89561926,2270.05282,169934.392
1.7,0.639229863,2.74421578,704.913176,129663.601
2,1.2765768,2.54802907,2425.13358,133003.257
2.3,0.884146729,3.3089397,1689.09157,118125.921
2.7,0.386114582,3.39410674,283.693722,96800.8947
3,1.09789801,2.02597565,2491.30481,158065.855
3.3,0.541685804,2.66834811,1386.40368,142310.868
3.7,0.678606417,2.67408602,448.502238,96610.6273
4,1.36718566,2.61619296,2458.60798,150841.282
4.3,0.722888661,2.75642473,780.441975,128818.813
4.7,0.33377295,2.02067932,109.554996,103727.857
5,0.799859325,2.68263174,549.052354,145368.005
5.3,0.471760934,3.07439635,698.979271,135186.894
5.7,0.333927677,2.05465243,138.177374,121227.634
6,0.953400208,2.25623949,861.561109,133714.508
6.3,0.821730886,3.13240261,823.642745,110571.272
6.7,0.649180968,2.11835805,579.773538,134135.248
7,1.63156493,2.34980359,5155.19224,164073.607
7.3,1.05586434,2.45139829,3176.2499,147901.065
