ParticleID,FluoBin
1.0163,10
1.0164,10
1.0166,1
1.0167,9
1.0168,9
1.0169,6
1.017,10
1.0172,5
1.0173,7
1.0174,3
1.0175,7
1.0176,10
1.0177,10
1.0178,8
1.0179,7
1.018,2
1.0181,7
1.0182,9
1.0183,6
1.0184,2
1.0186,7
1.0187,7
1.0188,2
1.019,2
1.0191,8
1.0192,4
1.0193,10
1.0194,10
1.0195,10
1.0197,8
1.0198,6
1.0199,7
1.02,7
1.0201,5
1.0202,5
1.0203,10
1.0205,10
1.0206,8
1.0207,10
1.0208,3
1.021,10
1.0211,9
1.0212,7
1.0213,9
1.0214,9
1.0215,7
1.0217,2
1.0218,10
1.0219,1
1.0221,8
1.0222,8
1.0223,9
1.0224,10
1.0225,7
1.0226,5
1.0227,3
1.0228,4
1.0229,9
1.023,6
1.0232,10
1.0233,5
1.0234,7
1.0235,10
1.0236,3
1.0237,4
1.0239,4
1.024,10
1.0242,7
1.0243,7
1.0244,9
1.0245,4
1.0246,1
1.0247,4
1.0248,7
1.0249,4
1.025,9
1.0251,2
1.0252,9
1.0253,6
1.0254,9
1.0255,10
1.0256,5
1.0258,2
1.0259,5
1.026,9
1.0261,7
1.0262,4
1.0263,10
1.0264,3
1.0265,9
1.0266,2
1.0267,10
1.0268,1
1.0269,7
1.027,9
1.0271,10
1.0272,10
1.0273,10
1.0274,8
1.0275,6
1.0276,1
1.0277,8
1.0278,7
1.0279,3
1.0281,8
1.0282,2
1.0283,5
1.0284,9
1.0285,1
1.0286,5
1.0287,9
1.0288,6
1.0289,9
1.029,7
1.0291,4
1.0292,9
1.0294,10
1.0296,2
1.0297,5
1.0298,9
1.0299,1
1.03,1
1.0301,1
1.0302,9
1.0303,6
1.0304,3
1.0305,1
1.0306,10
1.0307,4
1.0308,6
1.0309,9
1.031,8
1.0311,10
1.0312,2
1.0313,6
1.0314,2
1.0315,5
1.0316,9
1.0317,9
1.0318,7
1.0319,2
1.032,2
1.0322,7
1.0323,2
1.0324,6
1.0325,7
1.0326,6
1.0327,6
1.0328,10
1.0329,3
1.033,7
1.0331,6
1.0332,6
1.0333,6
1.0335,4
1.0336,4
1.0337,10
1.0338,8
1.0339,3
1.034,9
1.0341,9
1.0342,9
1.0344,9
1.0345,9
1.0346,9
1.0347,1
1.0348,10
1.0349,5
1.035,1
1.0351,7
1.0352,7
1.0353,7
1.0354,1
1.0356,10
1.0357,3
1.0358,6
1.0359,8
1.036,9
1.0361,8
1.0362,10
1.0363,4
1.0364,3
1.0365,6
1.0366,10
1.0367,1
1.0368,10
1.0369,8
1.037,10
1.0371,9
1.0374,6
1.0375,10
1.0376,2
1.0377,10
1.0384,6
1.0385,8
1.0386,2
1.0387,3
2.0086,4
2.0087,3
2.0088,3
2.0089,2
2.009,7
2.0091,1
2.0092,2
2.0093,2
2.0094,2
2.0096,4
2.0097,4
2.0098,1
2.0099,7
2.01,9
2.0101,1
2.0102,6
2.0103,2
2.0104,4
2.0105,1
2.0106,5
2.0107,9
2.0108,8
2.0109,2
2.011,6
2.0111,6
2.0112,5
2.0113,2
2.0114,3
2.0115,9
2.0116,3
2.0117,5
2.0118,9
2.0119,8
2.0121,2
2.0122,3
2.0123,2
2.0124,2
2.0126,3
2.0127,7
2.0128,6
2.0129,5
2.013,1
2.0131,9
2.0132,5
2.0133,3
2.0134,6
2.0135,4
2.0136,4
2.0137,2
2.0138,3
2.0139,5
2.014,8
2.0142,3
2.0143,5
2.0144,7
2.0145,1
2.0146,3
2.0147,5
2.0148,1
2.0149,9
2.015,6
2.0151,5
2.0153,2
2.0154,5
2.0155,4
2.0156,5
2.0158,7
2.0159,6
2.016,6
2.0161,6
2.0162,6
2.0163,1
2.0164,5
2.0165,8
2.0166,6
2.0167,4
2.0168,3
2.0169,6
2.017,3
2.0171,5
2.0172,8
2.0173,4
2.0174,4
2.0175,4
2.0176,1
2.0177,6
2.0178,3
2.0179,10
2.018,8
2.0181,5
2.0182,2
2.0183,5
2.0184,2
2.0185,1
2.0186,2
2.0187,5
2.0188,5
